0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Census Tract 8.01, Philadelphia County, Pennsylvania",1286,0,0,22,13,49,0,25,132,311,332,36,19,42,101,000801,0.3920139968895801
"Census Tract 8.03, Philadelphia County, Pennsylvania",2822,0,0,120,55,188,23,13,66,410,845,80,42,42,101,000803,0.27240609496810775
"Census Tract 9.01, Philadelphia County, Pennsylvania",1958,0,0,32,9,112,60,29,123,289,536,134,24,42,101,000901,0.3046680286006129
"Census Tract 9.02, Philadelphia County, Pennsylvania",2718,0,0,17,17,139,23,14,206,263,558,127,38,42,101,000902,0.23392200147167033
"Census Tract 10.01, Philadelphia County, Pennsylvania",2315,0,26,94,25,69,11,75,87,340,480,131,49,42,101,001001,0.2795637149028078
"Census Tract 10.02, Philadelphia County, Pennsylvania",3183,0,0,122,41,183,43,53,172,670,797,108,15,42,101,001002,0.3347659440779139
"Census Tract 11.01, Philadelphia County, Pennsylvania",3249,0,16,145,13,137,28,56,83,363,881,269,50,42,101,001101,0.25490612496152665
"Census Tract 11.02, Philadelphia County, Pennsylvania",2258,9,19,105,19,149,51,103,161,294,703,32,41,42,101,001102,0.32648804251550045
"Census Tract 12.01, Philadelphia County, Pennsylvania",3494,0,36,83,76,93,27,63,398,514,1222,95,0,42,101,001201,0.3542816256439611
"Census Tract 12.02, Philadelphia County, Pennsylvania",4676,0,51,138,27,213,19,99,241,931,1213,308,72,42,101,001202,0.3369674935842601
"Census Tract 27.01, Philadelphia County, Pennsylvania",3737,13,66,275,42,93,66,69,98,376,517,484,113,42,101,002701,0.2402756221568103
"Census Tract 27.02, Philadelphia County, Pennsylvania",3947,0,185,109,39,291,116,92,132,477,628,348,90,42,101,002702,0.2593184697238409
"Census Tract 28.01, Philadelphia County, Pennsylvania",3752,215,121,203,63,55,69,56,42,194,561,488,61,42,101,002801,0.18935234541577825
"Census Tract 28.02, Philadelphia County, Pennsylvania",4975,22,131,269,113,306,29,133,380,363,857,496,262,42,101,002802,0.2786291457286432
"Census Tract 30.01, Philadelphia County, Pennsylvania",3642,4,140,253,95,235,167,18,48,365,491,544,224,42,101,003001,0.2597007138934651
"Census Tract 30.02, Philadelphia County, Pennsylvania",2646,0,0,62,2,157,94,11,107,219,419,264,152,42,101,003002,0.2225321239606954
"Census Tract 71.01, Philadelphia County, Pennsylvania",2000,0,58,82,19,59,77,0,29,117,181,32,28,42,101,007101,0.126585
"Census Tract 71.02, Philadelphia County, Pennsylvania",3606,0,15,78,8,80,186,9,50,238,642,165,20,42,101,007102,0.15461453133666112
"Census Tract 81.01, Philadelphia County, Pennsylvania",2551,0,24,42,0,138,85,15,34,54,309,191,45,42,101,008101,0.11739317914543318
"Census Tract 81.02, Philadelphia County, Pennsylvania",4398,0,8,143,19,175,158,37,112,229,673,168,114,42,101,008102,0.15758526603001363
"Census Tract 137, Philadelphia County, Pennsylvania",4265,52,183,45,37,159,46,109,157,335,446,355,89,42,101,013700,0.19817350527549826
"Census Tract 115, Philadelphia County, Pennsylvania",3425,0,162,20,27,184,170,37,202,149,879,111,11,42,101,011500,0.20708321167883212
"Census Tract 120, Philadelphia County, Pennsylvania",1660,7,55,13,7,76,57,5,60,52,327,71,7,42,101,012000,0.15226506024096387
"Census Tract 121, Philadelphia County, Pennsylvania",2650,0,0,9,10,49,98,31,69,109,557,30,9,42,101,012100,0.14140000000000003
"Census Tract 166, Philadelphia County, Pennsylvania",1508,14,0,11,0,56,57,0,53,56,233,61,51,42,101,016600,0.14390583554376657
"Census Tract 83.02, Philadelphia County, Pennsylvania",3847,0,97,70,16,238,120,35,101,278,542,153,59,42,101,008302,0.17074343644398232
"Census Tract 63, Philadelphia County, Pennsylvania",3044,0,44,111,29,56,91,1,92,131,388,197,135,42,101,006300,0.15809789750328515
"Census Tract 73, Philadelphia County, Pennsylvania",2223,12,11,11,0,168,53,72,0,33,421,72,68,42,101,007300,0.13216374269005848
"Census Tract 79, Philadelphia County, Pennsylvania",4177,0,0,122,0,180,111,101,36,380,1234,381,215,42,101,007900,0.2522552070864257
"Census Tract 85, Philadelphia County, Pennsylvania",5467,0,42,68,0,505,154,33,122,340,1049,273,187,42,101,008500,0.18060728004389975
"Census Tract 96, Philadelphia County, Pennsylvania",3734,0,66,37,8,181,171,26,50,256,626,281,42,42,101,009600,0.17041242635243706
"Census Tract 118, Philadelphia County, Pennsylvania",5397,0,97,19,23,220,147,85,223,231,1172,227,14,42,101,011800,0.17352047433759496
"Census Tract 119, Philadelphia County, Pennsylvania",3989,0,25,27,44,95,188,79,99,170,569,162,123,42,101,011900,0.15594384557533217
"Census Tract 139, Philadelphia County, Pennsylvania",1843,0,0,31,35,16,58,7,58,168,251,153,52,42,101,013900,0.19850786760716224
"Census Tract 147, Philadelphia County, Pennsylvania",1983,16,29,14,7,101,0,0,86,81,399,222,9,42,101,014700,0.17651033787191123
"Census Tract 156, Philadelphia County, Pennsylvania",1230,0,21,6,23,76,33,0,26,63,80,85,51,42,101,015600,0.14276422764227645
"Census Tract 163, Philadelphia County, Pennsylvania",2614,76,0,52,46,100,73,0,12,99,272,43,119,42,101,016300,0.115283091048202
"Census Tract 178, Philadelphia County, Pennsylvania",3693,0,0,117,21,119,137,32,58,172,563,158,93,42,101,017800,0.14624424587056592
"Census Tract 197, Philadelphia County, Pennsylvania",4947,0,2,109,112,136,31,70,90,99,729,221,79,42,101,019700,0.12636547402466142
"Census Tract 200, Philadelphia County, Pennsylvania",1123,0,0,10,0,11,48,8,6,84,124,137,0,42,101,020000,0.15142475512021372
"Census Tract 236, Philadelphia County, Pennsylvania",2053,11,0,19,15,144,84,56,41,203,375,68,62,42,101,023600,0.21522649780808573
"Census Tract 108, Philadelphia County, Pennsylvania",3102,0,41,32,37,127,110,0,78,126,563,221,8,42,101,010800,0.15264990328820116
"Census Tract 145, Philadelphia County, Pennsylvania",1230,14,27,77,0,39,14,15,9,6,167,39,21,42,101,014500,0.10126016260162603
"Census Tract 165, Philadelphia County, Pennsylvania",2090,0,16,33,0,86,0,15,0,112,260,62,12,42,101,016500,0.10759808612440193
"Census Tract 239, Philadelphia County, Pennsylvania",1387,6,0,24,29,88,12,6,56,87,294,27,44,42,101,023900,0.19216294160057681
"Census Tract 242, Philadelphia County, Pennsylvania",2818,0,37,69,20,193,94,39,83,164,590,294,0,42,101,024200,0.20155784244144784
"Census Tract 245, Philadelphia County, Pennsylvania",2828,0,20,0,0,147,92,39,99,246,389,159,39,42,101,024500,0.1852758132956153
"Census Tract 254, Philadelphia County, Pennsylvania",3991,0,83,39,11,123,242,119,193,318,707,94,224,42,101,025400,0.22879228263593085
"Census Tract 260, Philadelphia County, Pennsylvania",2650,0,83,15,11,195,81,7,212,89,287,29,76,42,101,026000,0.1626754716981132
"Census Tract 173, Philadelphia County, Pennsylvania",2127,0,10,99,0,128,81,34,26,68,216,40,76,42,101,017300,0.1241137752703338
"Census Tract 175, Philadelphia County, Pennsylvania",5402,56,290,201,255,232,75,0,37,111,305,243,105,42,101,017500,0.11290818215475751
"Census Tract 176.02, Philadelphia County, Pennsylvania",2958,13,9,67,0,153,151,0,40,176,245,90,81,42,101,017602,0.126237322515213
"Census Tract 253, Philadelphia County, Pennsylvania",3326,0,65,9,9,325,111,89,104,225,493,163,58,42,101,025300,0.18969633193024657
"Census Tract 238, Philadelphia County, Pennsylvania",3738,0,80,3,0,42,89,15,244,332,831,256,168,42,101,023800,0.2402434456928839
"Census Tract 252, Philadelphia County, Pennsylvania",5521,0,53,164,0,154,137,29,79,98,985,532,17,42,101,025200,0.13049266437239632
"Census Tract 262, Philadelphia County, Pennsylvania",3336,0,9,127,9,127,158,8,106,271,644,162,65,42,101,026200,0.1964388489208633
"Census Tract 273, Philadelphia County, Pennsylvania",4874,0,23,370,183,448,109,0,137,229,823,187,59,42,101,027300,0.180701682396389
"Census Tract 284, Philadelphia County, Pennsylvania",2992,0,0,78,30,257,53,75,60,118,379,111,111,42,101,028400,0.15589237967914438
"Census Tract 286, Philadelphia County, Pennsylvania",4767,0,42,448,42,138,189,16,72,269,570,67,226,42,101,028600,0.15722257184812252
"Census Tract 1, Philadelphia County, Pennsylvania",3906,0,91,109,57,315,47,88,316,865,989,120,89,42,101,000100,0.3814260112647209
"Census Tract 13, Philadelphia County, Pennsylvania",5760,0,85,170,20,156,122,135,277,611,1638,397,214,42,101,001300,0.27911458333333333
"Census Tract 307, Philadelphia County, Pennsylvania",3102,0,73,251,21,206,148,0,44,122,562,211,137,42,101,030700,0.17994519664732433
"Census Tract 312, Philadelphia County, Pennsylvania",4023,0,98,291,103,211,99,17,17,175,853,195,170,42,101,031200,0.18288839174745214
"Census Tract 231, Philadelphia County, Pennsylvania",1042,5,11,41,11,54,7,0,129,158,190,43,21,42,101,023100,0.31621880998080615
"Census Tract 235, Philadelphia County, Pennsylvania",1099,0,12,32,27,79,23,6,17,161,252,25,43,42,101,023500,0.26006369426751597
"Census Tract 19, Philadelphia County, Pennsylvania",3056,31,51,18,21,81,112,61,235,505,816,240,168,42,101,001900,0.35152814136125654
"Census Tract 31, Philadelphia County, Pennsylvania",3861,0,46,211,19,246,121,51,115,274,590,374,66,42,101,003100,0.20351981351981355
"Census Tract 32, Philadelphia County, Pennsylvania",3175,0,48,43,10,209,112,35,227,71,419,274,79,42,101,003200,0.18011653543307088
"Census Tract 40.01, Philadelphia County, Pennsylvania",3699,0,259,223,86,200,47,25,133,281,561,408,150,42,101,004001,0.23792376317923764
"Census Tract 62, Philadelphia County, Pennsylvania",3069,0,49,70,55,193,130,0,40,169,638,267,106,42,101,006200,0.19167807103290974
"Census Tract 72, Philadelphia County, Pennsylvania",3272,0,74,85,33,265,123,0,77,123,482,45,75,42,101,007200,0.1395507334963325
"Census Tract 74, Philadelphia County, Pennsylvania",3629,23,27,81,75,305,75,38,72,346,558,244,99,42,101,007400,0.21031964728575364
"Census Tract 92, Philadelphia County, Pennsylvania",2706,7,0,30,22,115,33,60,30,179,454,92,44,42,101,009200,0.1599889135254989
"Census Tract 100, Philadelphia County, Pennsylvania",3436,0,0,109,7,193,118,70,149,230,685,167,91,42,101,010000,0.20933643771827706
"Census Tract 101, Philadelphia County, Pennsylvania",5546,44,0,28,115,305,144,104,221,248,1037,185,104,42,101,010100,0.17884421204471693
"Census Tract 88.01, Philadelphia County, Pennsylvania",2406,0,0,15,0,144,0,23,0,116,424,88,0,42,101,008801,0.11940980881130507
"Census Tract 88.02, Philadelphia County, Pennsylvania",5893,0,22,34,5,199,23,33,135,175,1249,217,78,42,101,008802,0.13351433904632615
"Census Tract 98.01, Philadelphia County, Pennsylvania",1810,0,0,7,14,84,52,9,88,115,417,91,38,42,101,009801,0.20149723756906077
"Census Tract 98.02, Philadelphia County, Pennsylvania",4565,0,46,185,0,335,126,103,192,114,1209,62,130,42,101,009802,0.1898751369112815
"Census Tract 122.01, Philadelphia County, Pennsylvania",2709,0,0,104,0,131,67,76,134,123,414,13,144,42,101,012201,0.1831598375784422
"Census Tract 122.03, Philadelphia County, Pennsylvania",409,0,0,6,9,7,0,0,6,41,130,20,0,42,101,012203,0.2189242053789731
"Census Tract 122.04, Philadelphia County, Pennsylvania",3523,0,36,52,0,90,181,28,174,237,586,166,86,42,101,012204,0.19011921657678113
"Census Tract 134.01, Philadelphia County, Pennsylvania",2232,0,8,54,62,19,31,34,137,411,401,152,105,42,101,013401,0.3235035842293907
"Census Tract 134.02, Philadelphia County, Pennsylvania",2810,0,49,125,50,141,0,115,143,686,911,82,55,42,101,013402,0.40715302491103206
"Census Tract 136.01, Philadelphia County, Pennsylvania",2375,0,47,86,64,102,60,53,152,386,715,170,27,42,101,013601,0.34844631578947366
"Census Tract 136.02, Philadelphia County, Pennsylvania",3351,0,65,76,82,162,63,39,235,512,828,391,80,42,101,013602,0.33573560131304087
"Census Tract 151.01, Philadelphia County, Pennsylvania",1724,0,16,2,0,39,112,0,49,30,258,74,31,42,101,015101,0.11862529002320187
"Census Tract 151.02, Philadelphia County, Pennsylvania",3100,0,93,58,0,53,67,52,9,50,520,150,10,42,101,015102,0.1101483870967742
"Census Tract 167.01, Philadelphia County, Pennsylvania",2263,0,19,67,0,85,84,22,11,180,296,41,40,42,101,016701,0.14684931506849314
"Census Tract 167.02, Philadelphia County, Pennsylvania",2079,0,0,21,30,87,0,35,6,16,375,99,28,42,101,016702,0.11045214045214045
"Census Tract 172.01, Philadelphia County, Pennsylvania",2217,0,52,39,0,100,66,29,144,281,187,191,61,42,101,017201,0.2437708615245828
"Census Tract 172.02, Philadelphia County, Pennsylvania",3001,0,0,23,0,177,188,0,37,168,253,75,95,42,101,017202,0.12201932689103633
"Census Tract 177.01, Philadelphia County, Pennsylvania",2440,0,0,79,0,71,144,0,72,120,235,101,49,42,101,017701,0.1341393442622951
"Census Tract 177.02, Philadelphia County, Pennsylvania",3451,34,117,37,0,204,135,0,31,102,292,38,73,42,101,017702,0.09323964068385975
"Census Tract 180.01, Philadelphia County, Pennsylvania",2204,0,24,86,52,151,87,0,90,152,366,143,77,42,101,018001,0.2104764065335753
"Census Tract 180.02, Philadelphia County, Pennsylvania",4595,0,290,96,11,295,173,63,94,272,551,396,124,42,101,018002,0.18050272034820458
"Census Tract 195.01, Philadelphia County, Pennsylvania",3363,0,13,209,90,218,116,27,31,115,321,159,44,42,101,019501,0.1327505203687184
"Census Tract 195.02, Philadelphia County, Pennsylvania",2578,29,118,237,59,144,27,0,18,0,118,62,56,42,101,019502,0.08693173002327385
"Census Tract 201.01, Philadelphia County, Pennsylvania",2724,0,33,14,24,109,132,14,142,123,283,83,39,42,101,020101,0.1487481644640235
"Census Tract 201.02, Philadelphia County, Pennsylvania",2373,0,0,39,0,130,76,0,128,267,365,103,83,42,101,020102,0.22231774125579434
"Census Tract 274.01, Philadelphia County, Pennsylvania",2995,0,15,165,65,189,39,104,54,135,588,51,168,42,101,027401,0.19760601001669448
"Census Tract 274.02, Philadelphia County, Pennsylvania",5669,0,195,363,288,226,367,0,83,100,1274,12,67,42,101,027402,0.16308167225260187
"Census Tract 279.01, Philadelphia County, Pennsylvania",3300,0,48,62,26,152,139,7,130,187,771,254,41,42,101,027901,0.20129090909090908
"Census Tract 279.02, Philadelphia County, Pennsylvania",3693,4,30,69,19,184,81,23,66,171,499,151,32,42,101,027902,0.13143243975088004
"Census Tract 289.01, Philadelphia County, Pennsylvania",3403,0,78,177,171,288,107,17,14,149,343,276,208,42,101,028901,0.181942403761387
"Census Tract 289.02, Philadelphia County, Pennsylvania",5112,16,275,321,53,241,575,10,183,286,627,183,58,42,101,028902,0.18356611893583724
"Census Tract 305.01, Philadelphia County, Pennsylvania",4108,0,83,208,51,290,97,9,134,374,682,184,302,42,101,030501,0.22883641674780916
"Census Tract 305.02, Philadelphia County, Pennsylvania",4903,0,120,305,50,380,101,20,54,339,854,213,353,42,101,030502,0.20026310422190494
"Census Tract 311.01, Philadelphia County, Pennsylvania",3752,0,166,153,42,356,75,54,75,252,455,153,188,42,101,031101,0.18913113006396592
"Census Tract 311.02, Philadelphia County, Pennsylvania",3185,0,76,224,68,126,90,10,168,130,680,158,48,42,101,031102,0.20262480376766093
"Census Tract 314.01, Philadelphia County, Pennsylvania",5480,0,617,217,22,422,144,14,62,259,549,431,454,42,101,031401,0.1846167883211679
"Census Tract 314.02, Philadelphia County, Pennsylvania",4485,14,266,372,84,178,112,37,128,211,508,597,280,42,101,031402,0.21591304347826087
"Census Tract 315.01, Philadelphia County, Pennsylvania",5294,0,192,308,80,581,205,93,126,195,827,245,106,42,101,031501,0.1798942198715527
"Census Tract 315.02, Philadelphia County, Pennsylvania",3431,0,135,194,34,144,130,20,71,54,530,292,146,42,101,031502,0.16083066161468962
"Census Tract 331.01, Philadelphia County, Pennsylvania",3826,0,69,348,0,206,94,8,129,93,700,152,64,42,101,033101,0.1562807109252483
"Census Tract 331.02, Philadelphia County, Pennsylvania",3043,0,176,161,45,99,47,29,94,163,470,78,103,42,101,033102,0.179158724942491
